split,dataset,fs,n_features,ensemble,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_2+14,2+14,shap_r50,9,Old,under,0.508315,0.043177,0.398127,0.195122,0.024274,0.187662,0.804878
split_2+14,2+14,shap_r50,9,New,under,0.832447,0.243167,0.652156,0.449477,0.166667,0.053772,0.550523
split_2+14,2+14,shap_r50,9,Old,over,0.508168,0.045848,0.392822,0.184669,0.026173,0.164402,0.815331
split_2+14,2+14,shap_r50,9,New,over,0.792942,0.143161,0.702164,0.585366,0.081553,0.157732,0.414634
split_2+14,2+14,shap_r50,9,Old,hybrid,0.544376,0.056595,0.427614,0.216028,0.032563,0.153564,0.783972
split_2+14,2+14,shap_r50,9,New,hybrid,0.8198,0.185071,0.686337,0.522648,0.112444,0.098708,0.477352
split_2+14,2+14,shap_r50,9,Old_3,ensemble,0.535711,0.045956,0.384065,0.174216,0.026469,0.153314,0.825784
split_2+14,2+14,shap_r50,9,New_3,ensemble,0.838244,0.190535,0.693743,0.533101,0.115997,0.097207,0.466899
split_2+14,2+14,shap_r50,9,All_6,ensemble,0.78055,0.130299,0.657292,0.508711,0.074719,0.150729,0.491289
split_2+14,2+14,shap_r50,9,Old_under_New_under,ensemble,0.795401,0.149929,0.690395,0.554007,0.086696,0.139642,0.445993
split_2+14,2+14,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.758091,0.120752,0.660033,0.526132,0.068202,0.171988,0.473868
split_2+14,2+14,shap_r80,15,Old,under,0.496746,0.045772,0.335207,0.125436,0.027994,0.10421,0.874564
split_2+14,2+14,shap_r80,15,New,under,0.837045,0.207143,0.681509,0.505226,0.130279,0.0807,0.494774
split_2+14,2+14,shap_r80,15,Old,over,0.53801,0.054244,0.461448,0.268293,0.030172,0.206336,0.731707
split_2+14,2+14,shap_r80,15,New,over,0.792566,0.143049,0.688693,0.557491,0.082051,0.149229,0.442509
split_2+14,2+14,shap_r80,15,Old,hybrid,0.603712,0.050321,0.377915,0.163763,0.029728,0.127887,0.836237
split_2+14,2+14,shap_r80,15,New,hybrid,0.828662,0.195157,0.662082,0.477352,0.12265,0.081701,0.522648
split_2+14,2+14,shap_r80,15,Old_3,ensemble,0.576613,0.054376,0.430998,0.222997,0.030963,0.166986,0.777003
split_2+14,2+14,shap_r80,15,New_3,ensemble,0.844629,0.179751,0.714968,0.578397,0.10641,0.116215,0.421603
split_2+14,2+14,shap_r80,15,All_6,ensemble,0.800202,0.134964,0.665183,0.519164,0.077564,0.147728,0.480836
split_2+14,2+14,shap_r80,15,Old_under_New_under,ensemble,0.807426,0.154774,0.683588,0.536585,0.090429,0.129137,0.463415
split_2+14,2+14,shap_r80,15,Old_hybrid_New_hybrid,ensemble,0.779086,0.126221,0.691131,0.585366,0.070737,0.183993,0.414634
split_3+13,3+13,no_fs,19,Old,under,0.560213,0.046003,0.350666,0.139373,0.027548,0.117716,0.860627
split_3+13,3+13,no_fs,19,New,under,0.816263,0.193115,0.611833,0.400697,0.127212,0.065777,0.599303
split_3+13,3+13,no_fs,19,Old,over,0.575457,0.049594,0.410482,0.202091,0.028265,0.166236,0.797909
split_3+13,3+13,no_fs,19,New,over,0.78458,0.132098,0.688931,0.571429,0.074681,0.169404,0.428571
split_3+13,3+13,no_fs,19,Old,hybrid,0.60666,0.061258,0.531735,0.38676,0.033263,0.268945,0.61324
split_3+13,3+13,no_fs,19,New,hybrid,0.818584,0.185118,0.692236,0.533101,0.112006,0.101125,0.466899
split_3+13,3+13,no_fs,19,Old_3,ensemble,0.595915,0.056138,0.476263,0.289199,0.031086,0.215673,0.710801
split_3+13,3+13,no_fs,19,New_3,ensemble,0.835293,0.18171,0.689298,0.529617,0.109668,0.102876,0.470383
split_3+13,3+13,no_fs,19,All_6,ensemble,0.785574,0.12781,0.654104,0.505226,0.073158,0.153147,0.494774
split_3+13,3+13,no_fs,19,Old_under_New_under,ensemble,0.783223,0.137828,0.543147,0.320557,0.087786,0.0797,0.679443
split_3+13,3+13,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.772588,0.130605,0.664533,0.522648,0.074627,0.155065,0.477352
split_3+13,3+13,shap_r50,9,Old,under,0.560089,0.054027,0.399622,0.184669,0.031642,0.135223,0.815331
split_3+13,3+13,shap_r50,9,New,under,0.819003,0.211624,0.676102,0.494774,0.134597,0.076115,0.505226
split_3+13,3+13,shap_r50,9,Old,over,0.543936,0.050766,0.424848,0.219512,0.028702,0.177741,0.780488
split_3+13,3+13,shap_r50,9,New,over,0.787034,0.170398,0.655922,0.477352,0.103709,0.098708,0.522648
split_3+13,3+13,shap_r50,9,Old,hybrid,0.56083,0.046137,0.361476,0.149826,0.027267,0.127887,0.850174
split_3+13,3+13,shap_r50,9,New,hybrid,0.809134,0.17791,0.620711,0.418118,0.112994,0.078533,0.581882
split_3+13,3+13,shap_r50,9,Old_3,ensemble,0.566363,0.050082,0.418982,0.212544,0.028385,0.174073,0.787456
split_3+13,3+13,shap_r50,9,New_3,ensemble,0.825029,0.203184,0.657225,0.466899,0.129845,0.074865,0.533101
split_3+13,3+13,shap_r50,9,All_6,ensemble,0.772381,0.128348,0.5952,0.400697,0.076412,0.115882,0.599303
split_3+13,3+13,shap_r50,9,Old_under_New_under,ensemble,0.783902,0.151045,0.5958,0.390244,0.093645,0.090371,0.609756
split_3+13,3+13,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.749016,0.114983,0.622864,0.45993,0.065704,0.156482,0.54007
split_3+13,3+13,shap_r80,15,Old,under,0.566602,0.056615,0.388427,0.170732,0.033934,0.116298,0.829268
split_3+13,3+13,shap_r80,15,New,under,0.827505,0.188657,0.712343,0.567944,0.113116,0.106544,0.432056
split_3+13,3+13,shap_r80,15,Old,over,0.584189,0.057815,0.527776,0.393728,0.031198,0.292539,0.606272
split_3+13,3+13,shap_r80,15,New,over,0.788444,0.148429,0.648662,0.477352,0.087877,0.118549,0.522648
split_3+13,3+13,shap_r80,15,Old,hybrid,0.614283,0.059365,0.453252,0.247387,0.033729,0.169571,0.752613
split_3+13,3+13,shap_r80,15,New,hybrid,0.831137,0.161656,0.704453,0.571429,0.094145,0.131555,0.428571
split_3+13,3+13,shap_r80,15,Old_3,ensemble,0.604178,0.062164,0.531864,0.383275,0.033825,0.261942,0.616725
split_3+13,3+13,shap_r80,15,New_3,ensemble,0.842412,0.186211,0.702183,0.550523,0.112057,0.104377,0.449477
split_3+13,3+13,shap_r80,15,All_6,ensemble,0.794335,0.144592,0.622671,0.43554,0.086685,0.109796,0.56446
split_3+13,3+13,shap_r80,15,Old_under_New_under,ensemble,0.794615,0.166142,0.644258,0.45993,0.101382,0.097541,0.54007
split_3+13,3+13,shap_r80,15,Old_hybrid_New_hybrid,ensemble,0.783014,0.123433,0.619926,0.445993,0.071628,0.138308,0.554007
split_4+12,4+12,no_fs,19,Old,under,0.578354,0.057372,0.392167,0.174216,0.034341,0.117216,0.825784
split_4+12,4+12,no_fs,19,New,under,0.843976,0.208412,0.723482,0.578397,0.127106,0.09504,0.421603
split_4+12,4+12,no_fs,19,Old,over,0.573694,0.054886,0.436606,0.229965,0.031161,0.171071,0.770035
split_4+12,4+12,no_fs,19,New,over,0.793382,0.169195,0.671736,0.505226,0.101612,0.106878,0.494774
split_4+12,4+12,no_fs,19,Old,hybrid,0.609421,0.066366,0.483171,0.28223,0.037604,0.172822,0.71777
split_4+12,4+12,no_fs,19,New,hybrid,0.830832,0.189235,0.71992,0.581882,0.112991,0.109296,0.418118
split_4+12,4+12,no_fs,19,Old_3,ensemble,0.602254,0.064306,0.452262,0.240418,0.037117,0.149229,0.759582
split_4+12,4+12,no_fs,19,New_3,ensemble,0.850406,0.17469,0.730681,0.61324,0.101852,0.129387,0.38676
split_4+12,4+12,no_fs,19,All_6,ensemble,0.802306,0.146372,0.603616,0.404181,0.089368,0.098541,0.595819
split_4+12,4+12,no_fs,19,Old_under_New_under,ensemble,0.815728,0.159126,0.683514,0.533101,0.093521,0.123635,0.466899
split_4+12,4+12,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.782548,0.132004,0.645358,0.484321,0.076416,0.140058,0.515679
split_4+12,4+12,shap_r50,9,Old,under,0.595338,0.067054,0.469548,0.261324,0.038462,0.156315,0.738676
split_4+12,4+12,shap_r50,9,New,under,0.816952,0.177597,0.689985,0.533101,0.106546,0.106961,0.466899
split_4+12,4+12,shap_r50,9,Old,over,0.544158,0.057477,0.405004,0.188153,0.03392,0.12822,0.811847
split_4+12,4+12,shap_r50,9,New,over,0.78063,0.160643,0.696911,0.557491,0.093842,0.128804,0.442509
split_4+12,4+12,shap_r50,9,Old,hybrid,0.562408,0.055441,0.403666,0.188153,0.032511,0.133972,0.811847
split_4+12,4+12,shap_r50,9,New,hybrid,0.820007,0.186107,0.670466,0.494774,0.114609,0.091455,0.505226
split_4+12,4+12,shap_r50,9,Old_3,ensemble,0.576352,0.057715,0.461073,0.261324,0.032439,0.186494,0.738676
split_4+12,4+12,shap_r50,9,New_3,ensemble,0.833009,0.215071,0.665977,0.477352,0.138804,0.070863,0.522648
split_4+12,4+12,shap_r50,9,All_6,ensemble,0.781425,0.11784,0.482516,0.250871,0.077005,0.071947,0.749129
split_4+12,4+12,shap_r50,9,Old_under_New_under,ensemble,0.787158,0.1509,0.63533,0.452962,0.090529,0.108879,0.547038
split_4+12,4+12,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.763117,0.121319,0.637712,0.480836,0.069416,0.154231,0.519164
split_4+12,4+12,shap_r80,15,Old,under,0.557686,0.061341,0.369372,0.149826,0.038565,0.089371,0.850174
split_4+12,4+12,shap_r80,15,New,under,0.840495,0.180564,0.698555,0.547038,0.108127,0.107962,0.452962
split_4+12,4+12,shap_r80,15,Old,over,0.571508,0.05746,0.414068,0.198606,0.033589,0.136724,0.801394
split_4+12,4+12,shap_r80,15,New,over,0.794163,0.147074,0.657889,0.494774,0.086375,0.125219,0.505226
split_4+12,4+12,shap_r80,15,Old,hybrid,0.641242,0.080436,0.527836,0.334495,0.045714,0.16707,0.665505
split_4+12,4+12,shap_r80,15,New,hybrid,0.831609,0.166667,0.72728,0.61324,0.096438,0.137474,0.38676
split_4+12,4+12,shap_r80,15,Old_3,ensemble,0.615803,0.07033,0.484156,0.278746,0.040241,0.159066,0.721254
split_4+12,4+12,shap_r80,15,New_3,ensemble,0.848781,0.199621,0.705899,0.550523,0.121914,0.094873,0.449477
split_4+12,4+12,shap_r80,15,All_6,ensemble,0.802871,0.144037,0.684008,0.547038,0.082937,0.144727,0.452962
split_4+12,4+12,shap_r80,15,Old_under_New_under,ensemble,0.797749,0.165109,0.696887,0.554007,0.09701,0.123385,0.445993
split_4+12,4+12,shap_r80,15,Old_hybrid_New_hybrid,ensemble,0.791457,0.136029,0.663952,0.515679,0.078348,0.145144,0.484321
split_5+11,5+11,no_fs,19,Old,under,0.594771,0.079084,0.479991,0.264808,0.046483,0.129971,0.735192
split_5+11,5+11,no_fs,19,New,under,0.821197,0.190835,0.691855,0.529617,0.116386,0.096207,0.470383
split_5+11,5+11,no_fs,19,Old,over,0.619589,0.07428,0.487051,0.278746,0.042849,0.148979,0.721254
split_5+11,5+11,no_fs,19,New,over,0.792022,0.174614,0.642246,0.452962,0.108153,0.089371,0.547038
split_5+11,5+11,no_fs,19,Old,hybrid,0.626303,0.077811,0.515011,0.317073,0.044347,0.163485,0.682927
split_5+11,5+11,no_fs,19,New,hybrid,0.834018,0.176471,0.727942,0.606272,0.103264,0.125969,0.393728
split_5+11,5+11,no_fs,19,Old_3,ensemble,0.633563,0.081308,0.519816,0.320557,0.046559,0.157065,0.679443
split_5+11,5+11,no_fs,19,New_3,ensemble,0.844489,0.183342,0.732256,0.609756,0.107891,0.120634,0.390244
split_5+11,5+11,no_fs,19,All_6,ensemble,0.804416,0.149031,0.673779,0.522648,0.086906,0.131388,0.477352
split_5+11,5+11,no_fs,19,Old_under_New_under,ensemble,0.790179,0.167003,0.627193,0.432056,0.103506,0.089537,0.567944
split_5+11,5+11,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.790173,0.141593,0.673946,0.529617,0.08172,0.142393,0.470383
split_5+11,5+11,shap_r50,9,Old,under,0.6146,0.089103,0.479474,0.25784,0.053857,0.108378,0.74216
split_5+11,5+11,shap_r50,9,New,under,0.829181,0.169409,0.726786,0.609756,0.09837,0.133722,0.390244
split_5+11,5+11,shap_r50,9,Old,over,0.582707,0.068503,0.518655,0.337979,0.038114,0.204085,0.662021
split_5+11,5+11,shap_r50,9,New,over,0.79536,0.16835,0.681207,0.522648,0.100334,0.11213,0.477352
split_5+11,5+11,shap_r50,9,Old,hybrid,0.614942,0.077249,0.471075,0.254355,0.04554,0.127553,0.745645
split_5+11,5+11,shap_r50,9,New,hybrid,0.833769,0.193189,0.700318,0.543554,0.11747,0.097707,0.456446
split_5+11,5+11,shap_r50,9,Old_3,ensemble,0.619371,0.080544,0.483393,0.268293,0.047385,0.129054,0.731707
split_5+11,5+11,shap_r50,9,New_3,ensemble,0.842556,0.189573,0.743171,0.627178,0.111663,0.119383,0.372822
split_5+11,5+11,shap_r50,9,All_6,ensemble,0.794565,0.14966,0.681359,0.536585,0.086957,0.134806,0.463415
split_5+11,5+11,shap_r50,9,Old_under_New_under,ensemble,0.793051,0.16704,0.678837,0.519164,0.099532,0.11238,0.480836
split_5+11,5+11,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.782375,0.130751,0.684821,0.56446,0.073939,0.169154,0.43554
split_5+11,5+11,shap_r80,15,Old,under,0.587866,0.073304,0.452507,0.233449,0.043478,0.122885,0.766551
split_5+11,5+11,shap_r80,15,New,under,0.816249,0.18705,0.672761,0.498258,0.115137,0.091622,0.501742
split_5+11,5+11,shap_r80,15,Old,over,0.563678,0.057721,0.465574,0.268293,0.032339,0.19208,0.731707
split_5+11,5+11,shap_r80,15,New,over,0.796981,0.167979,0.636206,0.445993,0.103476,0.092455,0.554007
split_5+11,5+11,shap_r80,15,Old,hybrid,0.615613,0.068216,0.454979,0.240418,0.039747,0.138975,0.759582
split_5+11,5+11,shap_r80,15,New,hybrid,0.835745,0.197985,0.722543,0.581882,0.119286,0.102793,0.418118
split_5+11,5+11,shap_r80,15,Old_3,ensemble,0.602997,0.074157,0.450119,0.229965,0.044206,0.118966,0.770035
split_5+11,5+11,shap_r80,15,New_3,ensemble,0.842739,0.187464,0.711978,0.567944,0.112259,0.107461,0.432056
split_5+11,5+11,shap_r80,15,All_6,ensemble,0.795799,0.146561,0.633812,0.452962,0.087424,0.11313,0.547038
split_5+11,5+11,shap_r80,15,Old_under_New_under,ensemble,0.781769,0.156888,0.622252,0.428571,0.096019,0.09654,0.571429
split_5+11,5+11,shap_r80,15,Old_hybrid_New_hybrid,ensemble,0.791486,0.143198,0.671123,0.522648,0.082965,0.138224,0.477352
split_6+10,6+10,no_fs,19,Old,under,0.593489,0.071841,0.418738,0.195122,0.044025,0.101376,0.804878
split_6+10,6+10,no_fs,19,New,under,0.855665,0.230769,0.657367,0.45993,0.154026,0.060442,0.54007
split_6+10,6+10,no_fs,19,Old,over,0.603406,0.067192,0.483901,0.28223,0.038136,0.170321,0.71777
split_6+10,6+10,no_fs,19,New,over,0.803808,0.184064,0.684077,0.519164,0.111862,0.098624,0.480836
split_6+10,6+10,no_fs,19,Old,hybrid,0.636922,0.074988,0.47757,0.264808,0.043678,0.138724,0.735192
split_6+10,6+10,no_fs,19,New,hybrid,0.835468,0.202899,0.712536,0.560976,0.123846,0.094956,0.439024
split_6+10,6+10,no_fs,19,Old_3,ensemble,0.63167,0.07836,0.449225,0.226481,0.047376,0.108962,0.773519
split_6+10,6+10,no_fs,19,New_3,ensemble,0.857742,0.188235,0.749531,0.641115,0.110312,0.123718,0.358885
split_6+10,6+10,no_fs,19,All_6,ensemble,0.812901,0.159046,0.616202,0.418118,0.0982,0.091872,0.581882
split_6+10,6+10,no_fs,19,Old_under_New_under,ensemble,0.818149,0.181435,0.641701,0.449477,0.113656,0.083868,0.550523
split_6+10,6+10,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.797089,0.138344,0.624539,0.442509,0.081988,0.118549,0.557491
split_6+10,6+10,shap_r50,9,Old,under,0.58755,0.078144,0.446173,0.222997,0.047372,0.107295,0.777003
split_6+10,6+10,shap_r50,9,New,under,0.839214,0.222387,0.694917,0.522648,0.141243,0.076032,0.477352
split_6+10,6+10,shap_r50,9,Old,over,0.575723,0.057204,0.471462,0.278746,0.031873,0.202584,0.721254
split_6+10,6+10,shap_r50,9,New,over,0.798535,0.158249,0.660176,0.491289,0.094314,0.11288,0.508711
split_6+10,6+10,shap_r50,9,Old,hybrid,0.596864,0.069957,0.50614,0.313589,0.03937,0.183076,0.686411
split_6+10,6+10,shap_r50,9,New,hybrid,0.829707,0.200297,0.65884,0.470383,0.127238,0.077199,0.529617
split_6+10,6+10,shap_r50,9,Old_3,ensemble,0.599069,0.067583,0.426123,0.205575,0.040439,0.116715,0.794425
split_6+10,6+10,shap_r50,9,New_3,ensemble,0.842608,0.199764,0.726755,0.58885,0.120285,0.103043,0.41115
split_6+10,6+10,shap_r50,9,All_6,ensemble,0.794601,0.139187,0.667359,0.519164,0.080367,0.142143,0.480836
split_6+10,6+10,shap_r50,9,Old_under_New_under,ensemble,0.803174,0.17029,0.664073,0.491289,0.102995,0.102376,0.508711
split_6+10,6+10,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.777199,0.131259,0.70245,0.602787,0.073648,0.181409,0.397213
split_6+10,6+10,shap_r80,15,Old,under,0.59567,0.077973,0.433917,0.209059,0.047923,0.099375,0.790941
split_6+10,6+10,shap_r80,15,New,under,0.8568,0.204842,0.720668,0.574913,0.124622,0.096624,0.425087
split_6+10,6+10,shap_r80,15,Old,over,0.60543,0.070917,0.534393,0.362369,0.039305,0.211922,0.637631
split_6+10,6+10,shap_r80,15,New,over,0.805828,0.148556,0.69495,0.56446,0.085533,0.144393,0.43554
split_6+10,6+10,shap_r80,15,Old,hybrid,0.635517,0.074361,0.52266,0.334495,0.04183,0.183326,0.665505
split_6+10,6+10,shap_r80,15,New,hybrid,0.845935,0.170787,0.752028,0.662021,0.098039,0.145727,0.337979
split_6+10,6+10,shap_r80,15,Old_3,ensemble,0.631004,0.081477,0.478646,0.261324,0.048263,0.123301,0.738676
split_6+10,6+10,shap_r80,15,New_3,ensemble,0.861957,0.21629,0.709854,0.550523,0.134583,0.084702,0.449477
split_6+10,6+10,shap_r80,15,All_6,ensemble,0.813546,0.157606,0.692044,0.550523,0.091967,0.130054,0.449477
split_6+10,6+10,shap_r80,15,Old_under_New_under,ensemble,0.810322,0.17871,0.609207,0.400697,0.115,0.073781,0.599303
split_6+10,6+10,shap_r80,15,Old_hybrid_New_hybrid,ensemble,0.800528,0.145394,0.716337,0.61324,0.082474,0.163235,0.38676
split_7+9,7+9,no_fs,19,Old,under,0.611416,0.094987,0.476102,0.250871,0.058584,0.096457,0.749129
split_7+9,7+9,no_fs,19,New,under,0.848279,0.213811,0.715189,0.560976,0.132075,0.088203,0.439024
split_7+9,7+9,no_fs,19,Old,over,0.631436,0.077802,0.551009,0.379791,0.04334,0.200584,0.620209
split_7+9,7+9,no_fs,19,New,over,0.791811,0.160668,0.685972,0.536585,0.094479,0.123051,0.463415
split_7+9,7+9,no_fs,19,Old,hybrid,0.658024,0.083183,0.521126,0.320557,0.047792,0.152814,0.679443
split_7+9,7+9,no_fs,19,New,hybrid,0.840192,0.166065,0.740167,0.641115,0.095386,0.145477,0.358885
split_7+9,7+9,no_fs,19,Old_3,ensemble,0.658057,0.088143,0.505201,0.292683,0.051884,0.12797,0.707317
split_7+9,7+9,no_fs,19,New_3,ensemble,0.85528,0.204082,0.729816,0.592334,0.123278,0.100792,0.407666
split_7+9,7+9,no_fs,19,All_6,ensemble,0.818851,0.165848,0.650454,0.470383,0.100671,0.100542,0.529617
split_7+9,7+9,no_fs,19,Old_under_New_under,ensemble,0.814109,0.167866,0.661314,0.487805,0.101376,0.10346,0.512195
split_7+9,7+9,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.803472,0.155286,0.65912,0.491289,0.092217,0.115715,0.508711
split_7+9,7+9,shap_r50,9,Old,under,0.612075,0.08013,0.475287,0.25784,0.047436,0.123885,0.74216
split_7+9,7+9,shap_r50,9,New,under,0.841371,0.198802,0.720912,0.578397,0.120029,0.101459,0.421603
split_7+9,7+9,shap_r50,9,Old,over,0.586304,0.067227,0.462147,0.250871,0.038814,0.148645,0.749129
split_7+9,7+9,shap_r50,9,New,over,0.795483,0.174917,0.700456,0.554007,0.103854,0.114381,0.445993
split_7+9,7+9,shap_r50,9,Old,hybrid,0.636933,0.082126,0.504224,0.296167,0.047672,0.141559,0.703833
split_7+9,7+9,shap_r50,9,New,hybrid,0.837839,0.18259,0.726709,0.599303,0.107702,0.118799,0.400697
split_7+9,7+9,shap_r50,9,Old_3,ensemble,0.629038,0.078565,0.492313,0.28223,0.045634,0.141226,0.71777
split_7+9,7+9,shap_r50,9,New_3,ensemble,0.843865,0.218947,0.706438,0.543554,0.137083,0.081867,0.456446
split_7+9,7+9,shap_r50,9,All_6,ensemble,0.802471,0.158809,0.696143,0.557491,0.092593,0.130721,0.442509
split_7+9,7+9,shap_r50,9,Old_under_New_under,ensemble,0.804789,0.194147,0.659721,0.473868,0.122083,0.081534,0.526132
split_7+9,7+9,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.795993,0.138485,0.646514,0.480836,0.080891,0.130721,0.519164
split_7+9,7+9,shap_r80,15,Old,under,0.618167,0.083256,0.516646,0.313589,0.048,0.148812,0.686411
split_7+9,7+9,shap_r80,15,New,under,0.854736,0.217134,0.687685,0.512195,0.137769,0.076699,0.487805
split_7+9,7+9,shap_r80,15,Old,over,0.614073,0.072246,0.43146,0.209059,0.043668,0.109546,0.790941
split_7+9,7+9,shap_r80,15,New,over,0.814855,0.151239,0.71643,0.606272,0.086395,0.153397,0.393728
split_7+9,7+9,shap_r80,15,Old,hybrid,0.6529,0.08906,0.498086,0.28223,0.052872,0.120967,0.71777
split_7+9,7+9,shap_r80,15,New,hybrid,0.836317,0.191943,0.711446,0.56446,0.115632,0.103293,0.43554
