new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4983,0.5017,0.5017,0.4042,0.4765
14yr,0.5017,0.4634,0.3659,0.4216,0.4382
13yr,0.3798,0.3833,0.3833,0.4843,0.4077
12yr,0.3937,0.3659,0.3972,0.4669,0.4059
11yr,0.3589,0.3659,0.3693,0.4042,0.3746
10yr,0.3554,0.3310,0.2997,0.3659,0.3380
9yr,0.3310,0.3345,0.3380,0.4042,0.3519
8yr,0.3136,0.3136,0.3171,0.3868,0.3328
7yr,0.3136,0.3171,0.3066,0.3310,0.3171
6yr,0.3031,0.3031,0.2857,0.3415,0.3084
5yr,0.3066,0.3101,0.2997,0.3728,0.3223
4yr,0.3554,0.3554,0.3484,0.3659,0.3563
3yr,0.3798,0.3763,0.3484,0.3798,0.3711
2yr,0.3519,0.3554,0.3380,0.4007,0.3615
1yr,0.4390,0.4355,0.4321,0.4460,0.4382
avg,0.3721,0.3675,0.3554,0.3984,0.3733
