split,dataset,fs,n_features,ensemble,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,1+15,no_fs,19,Old,under,0.535283,0.057175,0.509555,0.351916,0.031115,0.262193,0.648084
split_1+15,1+15,no_fs,19,New,under,0.824863,0.198047,0.67329,0.494774,0.123801,0.083785,0.505226
split_1+15,1+15,no_fs,19,Old,over,0.557664,0.058688,0.513747,0.355401,0.031985,0.257357,0.644599
split_1+15,1+15,no_fs,19,New,over,0.780163,0.140575,0.6356,0.45993,0.082967,0.121634,0.54007
split_1+15,1+15,no_fs,19,Old,hybrid,0.557317,0.056776,0.528016,0.400697,0.030553,0.30421,0.599303
split_1+15,1+15,no_fs,19,New,hybrid,0.820399,0.158329,0.666095,0.501742,0.093995,0.115715,0.498258
split_1+15,1+15,no_fs,19,Old_3,ensemble,0.563396,0.059172,0.49388,0.313589,0.032668,0.222176,0.686411
split_1+15,1+15,no_fs,19,New_3,ensemble,0.836586,0.155821,0.722095,0.61324,0.089249,0.149729,0.38676
split_1+15,1+15,no_fs,19,All_6,ensemble,0.795764,0.1314,0.656097,0.505226,0.075521,0.147978,0.494774
split_1+15,1+15,no_fs,19,Old_under_New_under,ensemble,0.811469,0.161654,0.636601,0.449477,0.098549,0.098374,0.550523
split_1+15,1+15,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.765588,0.120073,0.623955,0.456446,0.069129,0.147061,0.543554
split_1+15,1+15,mutual_info_r50,9,Old,under,0.546486,0.04998,0.421463,0.216028,0.028259,0.177741,0.783972
split_1+15,1+15,mutual_info_r50,9,New,under,0.783701,0.163891,0.624172,0.428571,0.101318,0.090955,0.571429
split_1+15,1+15,mutual_info_r50,9,Old,over,0.518076,0.044091,0.474154,0.337979,0.023584,0.334806,0.662021
split_1+15,1+15,mutual_info_r50,9,New,over,0.747048,0.126236,0.632969,0.466899,0.072985,0.141892,0.533101
split_1+15,1+15,mutual_info_r50,9,Old,hybrid,0.56997,0.048193,0.414378,0.209059,0.027236,0.178658,0.790941
