split,dataset,fs,n_features,ensemble,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,1+15,no_fs,19,Old,under,0.535283,0.057175,0.509555,0.351916,0.031115,0.262193,0.648084
split_1+15,1+15,no_fs,19,New,under,0.824863,0.198047,0.67329,0.494774,0.123801,0.083785,0.505226
split_1+15,1+15,no_fs,19,Old,over,0.557664,0.058688,0.513747,0.355401,0.031985,0.257357,0.644599
split_1+15,1+15,no_fs,19,New,over,0.780163,0.140575,0.6356,0.45993,0.082967,0.121634,0.54007
split_1+15,1+15,no_fs,19,Old,hybrid,0.557317,0.056776,0.528016,0.400697,0.030553,0.30421,0.599303
split_1+15,1+15,no_fs,19,New,hybrid,0.820399,0.158329,0.666095,0.501742,0.093995,0.115715,0.498258
split_1+15,1+15,no_fs,19,Old_3,ensemble,0.563396,0.059172,0.49388,0.313589,0.032668,0.222176,0.686411
split_1+15,1+15,no_fs,19,New_3,ensemble,0.836586,0.155821,0.722095,0.61324,0.089249,0.149729,0.38676
split_1+15,1+15,no_fs,19,All_6,ensemble,0.795764,0.1314,0.656097,0.505226,0.075521,0.147978,0.494774
split_1+15,1+15,no_fs,19,Old_under_New_under,ensemble,0.811469,0.161654,0.636601,0.449477,0.098549,0.098374,0.550523
split_1+15,1+15,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.765588,0.120073,0.623955,0.456446,0.069129,0.147061,0.543554
split_2+14,2+14,no_fs,19,Old,under,0.548252,0.061824,0.425767,0.209059,0.036276,0.132889,0.790941
split_2+14,2+14,no_fs,19,New,under,0.81353,0.185666,0.657802,0.473868,0.11545,0.08687,0.526132
split_2+14,2+14,no_fs,19,Old,over,0.570736,0.05584,0.449803,0.247387,0.031472,0.182159,0.752613
split_2+14,2+14,no_fs,19,New,over,0.782794,0.14257,0.655974,0.494774,0.083284,0.130304,0.505226
split_2+14,2+14,no_fs,19,Old,hybrid,0.634153,0.070338,0.572379,0.449477,0.038154,0.271113,0.550523
